Domain name,Domain type,Agency,Organization name,City,State,Security Contact Email
fnal.gov,Federal - Executive,Department of Energy,Fermi National Accelerator Laboratory,,, 
fueleconomy.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
hanford.gov,Federal - Executive,Department of Energy,Hanford Mission Integration Solutions,,, 
homeenergyscore.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,, 
hydrogen.gov,Federal - Executive,Department of Energy,Research and Special Programs Administration / Volpe,,, 
inel.gov,Federal - Executive,Department of Energy,Idaho National Laboratory,,, 
inl.gov,Federal - Executive,Department of Energy,Idaho National Laboratory,,, 
isotope.gov,Federal - Executive,Department of Energy,The National Isotope Development Center ,,, 
isotopes.gov,Federal - Executive,Department of Energy,The National Isotope Development Center ,,, 
lanl.gov,Federal - Executive,Department of Energy,Los Alamos National Laboratory,,, 
lbl.gov,Federal - Executive,Department of Energy,Lawrence Berkeley National Laboratory,,, 
llnl.gov,Federal - Executive,Department of Energy,Lawrence Livermore National Laboratory,,, 
nccs.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
ncrc.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
nersc.gov,Federal - Executive,Department of Energy,National Energy Research Scientific Computing Center,,, 
neup.gov,Federal - Executive,Department of Energy,Office of Nuclear Energy,,, 
nnss.gov,Federal - Executive,Department of Energy,"National Nuclear Security Administration, National Security Technologies, LLC",,, 
nrel.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,,, 
nrelhub.gov,Federal - Executive,Department of Energy,National Renewable Energy Laboratory,,, 
ntrc.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
nuclear.gov,Federal - Executive,Department of Energy,Department of Energy,,, 
orau.gov,Federal - Executive,Department of Energy,ORAU,,, 
ornl.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
osti.gov,Federal - Executive,Department of Energy,OSTI,,, 
pcast.gov,Federal - Executive,Department of Energy,Department of Energy,,, 
pnl.gov,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,,, 
pnnl.gov,Federal - Executive,Department of Energy,Pacific Northwest National Laboratory,,, 
pppl.gov,Federal - Executive,Department of Energy,Princeton Plasma Physics Lab,,, 
pppo.gov,Federal - Executive,Department of Energy,Portsmouth/Paducah Project Office,,, 
pr100.gov,Federal - Executive,Department of Energy,"US Department of Energy, Office of the CIO",,, 
rideelectric.gov,Federal - Executive,Department of Energy,Department of Energy,,, 
rl.gov,Federal - Executive,Department of Energy,Hanford Mission Integration Solutions,,, 
sandia.gov,Federal - Executive,Department of Energy,Sandia National Laboratories,,, 
scidac.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
science.gov,Federal - Executive,Department of Energy,OSTI,,, 
smartgrid.gov,Federal - Executive,Department of Energy,Office of Electricity Delivery and Energy Reliability,,, 
sns.gov,Federal - Executive,Department of Energy,Oak Ridge National Laboratory,,, 
solardecathlon.gov,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,, 
srnl.gov,Federal - Executive,Department of Energy,Savannah River National Lab,,, 
srs.gov,Federal - Executive,Department of Energy,Savannah River Nuclear Solutions (SRNS),,, 
swpa.gov,Federal - Executive,Department of Energy,Southwestern Power Administration,,, 
unnpp.gov,Federal - Executive,Department of Energy,"Bechtel Bettis, Inc.",,, 
unrpnet.gov,Federal - Executive,Department of Energy,Office of Naval Reactors,,, 
wapa.gov,Federal - Executive,Department of Energy,Western Area Power Administration,,, 
ymp.gov,Federal - Executive,Department of Energy,Office of Legacy Management,,, 
988.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,,, 
acf.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
acl.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
afterschool.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",,, 
aging.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
agingstats.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
ahcpr.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
ahrq.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
aids.gov,Federal - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",,, 
alzheimers.gov,Federal - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",,, 
aoa.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
arpa-h.gov,Federal - Executive,Department of Health and Human Services,National Institutes of Health,,, 
arpah.gov,Federal - Executive,Department of Health and Human Services,National Institutes of Health,,, 
aspr.gov,Federal - Executive,Department of Health and Human Services,Administration for Strategic Preparedness and Response,,, 
bam.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
betobaccofree.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,,, 
bioethics.gov,Federal - Executive,Department of Health and Human Services,"President's Council on Bioethics, Office of the Secretary",,, 
birthcontrol.gov,Federal - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",,, 
brain.gov,Federal - Executive,Department of Health and Human Services,National Institute of Neurological Disorders and Stroke,,, 
brainhealth.gov,Federal - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",,, 
cancer.gov,Federal - Executive,Department of Health and Human Services,"National Cancer Institute, NIH",,, 
cdc.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
cdcpartners.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
cerebrosano.gov,Federal - Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",,, 
childcare.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
childwelfare.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
clinicaltrial.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",,, 
clinicaltrials.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",,, 
cms.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,, 
collegedrinkingprevention.gov,Federal - Executive,Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",,, 
coronavirus.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
covid.gov,Federal - Executive,Department of Health and Human Services,Department of Health and Human Services ,,, 
covidtest.gov,Federal - Executive,Department of Health and Human Services,Assistant Secretary for Preparedness and Response Office of the Secretary,,, 
covidtests.gov,Federal - Executive,Department of Health and Human Services,Assistant Secretary for Preparedness and Response Office of the Secretary,,, 
cuidadodesalud.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,, 
dhhs.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
diabetescommittee.gov,Federal - Executive,Department of Health and Human Services,"National Institutes of Diabetes and Digestive and Kidney Diseases, NIH",,, 
docline.gov,Federal - Executive,Department of Health and Human Services,"National Library of Medicine, NIH",,, 
donaciondeorganos.gov,Federal - Executive,Department of Health and Human Services,Health Resources and Services Administration,,, 
drugabuse.gov,Federal - Executive,Department of Health and Human Services,"National Institute on Drug Abuse, NIH",,, 
eldercare.gov,Federal - Executive,Department of Health and Human Services,Administration for Community Living,,, 
encuentraapoyo.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,,, 
everytrycounts.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,,, 
familyplanning.gov,Federal - Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",,, 
fatherhood.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
fda.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,,, 
findsupport.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,,, 
findtreatment.gov,Federal - Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,,, 
fitness.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
flu.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
foodsafety.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
freshempire.gov,Federal - Executive,Department of Health and Human Services,U. S. Food and Drug Administration,,, 
fruitsandveggiesmatter.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
genome.gov,Federal - Executive,Department of Health and Human Services,National Institutes of Health,,, 
girlshealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",,, 
globalhealth.gov,Federal - Executive,Department of Health and Human Services,"Office of Global Affairs, Office of the Secretary",,, 
gmta.gov,Federal - Executive,Department of Health and Human Services,"Office of Grants, Division of Workforce Development",,, 
grants.gov,Federal - Executive,Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",,, 
grantsolutions.gov,Federal - Executive,Department of Health and Human Services,Administration for Children and Families,,, 
guideline.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
guidelines.gov,Federal - Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,,, 
hc.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,, 
healthcare.gov,Federal - Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,,, 
healthdata.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
healthfinder.gov,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",,, 
health.gov,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",,, 
healthindicators.gov,Federal - Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,,, 
healthit.gov,Federal - Executive,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",,, 
healthypeople.gov,Federal - Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",,, 
hearttruth.gov,Federal - Executive,Department of Health and Human Services,"National Heart, Lung & Blood Institute, NIH",,, 
hhs.gov,Federal - Executive,Department of Health and Human Services,Office of the Secretary,,, 
hhsoig.gov,Federal - Executive,Department of Health and Human Services,Office of the Inspector General,,, 
